record_date,day_of_week,is_weekend,shop_id,store_name,category,daily_revenue_inr,transaction_count,store_footfall,sales_per_sqft,conversion_rate
03/31/25,Monday,FALSE,2045,Zara,Apparel,2211104,424,2069,73.7,0.204929918
04/01/25,Tuesday,FALSE,2045,Zara,Apparel,2249873,297,1552,75,0.191365979
04/02/25,Wednesday,FALSE,2045,Zara,Apparel,1529842,206,784,50.99,0.262755102
04/03/25,Thursday,FALSE,2045,Zara,Apparel,1590152,308,1625,53.01,0.189538462
04/04/25,Friday,FALSE,2045,Zara,Apparel,1558315,594,2991,51.94,0.198595787
04/05/25,Saturday,TRUE,2045,Zara,Apparel,3417302,469,1738,113.91,0.269850403
04/06/25,Sunday,TRUE,2045,Zara,Apparel,3867320,908,3521,128.91,0.257881284
04/07/25,Monday,FALSE,2045,Zara,Apparel,1671064,506,1992,55.7,0.254016064
04/08/25,Tuesday,FALSE,2045,Zara,Apparel,2330752,326,1173,77.69,0.277919864
04/09/25,Wednesday,FALSE,2045,Zara,Apparel,2170441,366,1468,72.35,0.249318801
04/10/25,Thursday,FALSE,2045,Zara,Apparel,1323293,515,2542,44.11,0.202596381
04/11/25,Friday,FALSE,2045,Zara,Apparel,1165067,289,1449,38.84,0.199447895
04/12/25,Saturday,TRUE,2045,Zara,Apparel,4336089,409,1856,144.54,0.220366379
04/13/25,Sunday,TRUE,2045,Zara,Apparel,2306056,374,1607,76.87,0.232731798
04/14/25,Monday,FALSE,2045,Zara,Apparel,1304898,554,2686,43.5,0.206254654
04/15/25,Tuesday,FALSE,2045,Zara,Apparel,1465841,370,1704,48.86,0.21713615
04/16/25,Wednesday,FALSE,2045,Zara,Apparel,2007033,253,932,66.9,0.271459227
04/17/25,Thursday,FALSE,2045,Zara,Apparel,1505044,211,1087,50.17,0.194112236
04/18/25,Friday,FALSE,2045,Zara,Apparel,2652791,729,3422,88.43,0.213033314
04/19/25,Saturday,TRUE,2045,Zara,Apparel,3870175,773,2871,129.01,0.269244166
04/20/25,Sunday,TRUE,2045,Zara,Apparel,3211095,699,3144,107.04,0.222328244
04/21/25,Monday,FALSE,2045,Zara,Apparel,2297943,570,2222,76.6,0.256525653
04/22/25,Tuesday,FALSE,2045,Zara,Apparel,2371891,473,1833,79.06,0.258046918
04/23/25,Wednesday,FALSE,2045,Zara,Apparel,2396811,394,1721,79.89,0.228936665
04/24/25,Thursday,FALSE,2045,Zara,Apparel,1452308,554,2630,48.41,0.210646388
04/25/25,Friday,FALSE,2045,Zara,Apparel,825032,461,2331,27.5,0.197769198
04/26/25,Saturday,TRUE,2045,Zara,Apparel,3917073,895,4433,130.57,0.201894879
04/27/25,Sunday,TRUE,2045,Zara,Apparel,4005025,714,3481,133.5,0.205113473
04/28/25,Monday,FALSE,2045,Zara,Apparel,2362918,429,1838,78.76,0.233405876
04/29/25,Tuesday,FALSE,2045,Zara,Apparel,1995168,386,2072,66.51,0.186293436
04/30/25,Wednesday,FALSE,2045,Zara,Apparel,1430105,443,2227,47.67,0.198922317
05/01/25,Thursday,FALSE,2045,Zara,Apparel,2379205,340,1705,79.31,0.19941349
05/02/25,Friday,FALSE,2045,Zara,Apparel,1423572,525,2337,47.45,0.224646983
05/03/25,Saturday,TRUE,2045,Zara,Apparel,2873654,600,2927,95.79,0.204988042
05/04/25,Sunday,TRUE,2045,Zara,Apparel,4938933,1130,4947,164.63,0.228421265
05/05/25,Monday,FALSE,2045,Zara,Apparel,2211928,397,2143,73.73,0.185254316
05/06/25,Tuesday,FALSE,2045,Zara,Apparel,1943022,512,1911,64.77,0.267922554
05/07/25,Wednesday,FALSE,2045,Zara,Apparel,2255504,437,2049,75.18,0.213274768
05/08/25,Thursday,FALSE,2045,Zara,Apparel,1983385,387,2033,66.11,0.190359075
05/09/25,Friday,FALSE,2045,Zara,Apparel,843542,331,1609,28.12,0.205717837
05/10/25,Saturday,TRUE,2045,Zara,Apparel,5045613,909,3945,168.19,0.230418251
05/11/25,Sunday,TRUE,2045,Zara,Apparel,1431271,650,2905,47.71,0.223752151
05/12/25,Monday,FALSE,2045,Zara,Apparel,2083755,518,2528,69.46,0.204905063
05/13/25,Tuesday,FALSE,2045,Zara,Apparel,2411041,266,997,80.37,0.266800401
05/14/25,Wednesday,FALSE,2045,Zara,Apparel,1709942,395,1912,57,0.206589958
05/15/25,Thursday,FALSE,2045,Zara,Apparel,1394067,408,1880,46.47,0.217021277
05/16/25,Friday,FALSE,2045,Zara,Apparel,2023783,317,1601,67.46,0.198001249
05/17/25,Saturday,TRUE,2045,Zara,Apparel,2453971,398,2143,81.8,0.185720952
05/18/25,Sunday,TRUE,2045,Zara,Apparel,2190497,648,2591,73.02,0.250096488
05/19/25,Monday,FALSE,2045,Zara,Apparel,2224947,243,925,74.16,0.262702703
05/20/25,Tuesday,FALSE,2045,Zara,Apparel,1228782,326,1753,40.96,0.185966914
05/21/25,Wednesday,FALSE,2045,Zara,Apparel,1137050,491,2300,37.9,0.213478261
05/22/25,Thursday,FALSE,2045,Zara,Apparel,2074910,582,2216,69.16,0.262635379
05/23/25,Friday,FALSE,2045,Zara,Apparel,2297287,256,1058,76.58,0.241965974
05/24/25,Saturday,TRUE,2045,Zara,Apparel,3123471,923,3680,104.12,0.250815217
05/25/25,Sunday,TRUE,2045,Zara,Apparel,2953989,506,2463,98.47,0.20544052
05/26/25,Monday,FALSE,2045,Zara,Apparel,2125501,449,2140,70.85,0.209813084
05/27/25,Tuesday,FALSE,2045,Zara,Apparel,1675901,509,1880,55.86,0.270744681
05/28/25,Wednesday,FALSE,2045,Zara,Apparel,1716085,473,1784,57.2,0.265134529
05/29/25,Thursday,FALSE,2045,Zara,Apparel,1897829,294,1544,63.26,0.190414508
05/30/25,Friday,FALSE,2045,Zara,Apparel,885668,225,941,29.52,0.239107333
05/31/25,Saturday,TRUE,2045,Zara,Apparel,3701638,472,1961,123.39,0.240693524
06/01/25,Sunday,TRUE,2045,Zara,Apparel,5029286,769,3375,167.64,0.227851852
06/02/25,Monday,FALSE,2045,Zara,Apparel,1332788,294,1495,44.43,0.196655518
06/03/25,Tuesday,FALSE,2045,Zara,Apparel,2302064,552,2108,76.74,0.261859583
06/04/25,Wednesday,FALSE,2045,Zara,Apparel,1875753,322,1410,62.53,0.228368794
06/05/25,Thursday,FALSE,2045,Zara,Apparel,838146,210,1112,27.94,0.188848921
06/06/25,Friday,FALSE,2045,Zara,Apparel,2383885,594,2350,79.46,0.252765957
06/07/25,Saturday,TRUE,2045,Zara,Apparel,4093248,550,2573,136.44,0.213758259
06/08/25,Sunday,TRUE,2045,Zara,Apparel,2817258,391,2021,93.91,0.19346858
06/09/25,Monday,FALSE,2045,Zara,Apparel,1865948,277,1308,62.2,0.2117737
06/10/25,Tuesday,FALSE,2045,Zara,Apparel,2064786,353,1653,68.83,0.213551119
06/11/25,Wednesday,FALSE,2045,Zara,Apparel,1025873,558,2307,34.2,0.241872562
06/12/25,Thursday,FALSE,2045,Zara,Apparel,1368054,302,1276,45.6,0.236677116
06/13/25,Friday,FALSE,2045,Zara,Apparel,1799406,278,1211,59.98,0.229562345
06/14/25,Saturday,TRUE,2045,Zara,Apparel,3406844,891,4486,113.56,0.198617922
06/15/25,Sunday,TRUE,2045,Zara,Apparel,2520294,781,4174,84.01,0.187110685
06/16/25,Monday,FALSE,2045,Zara,Apparel,1242518,318,1590,41.42,0.2
06/17/25,Tuesday,FALSE,2045,Zara,Apparel,1313866,429,2072,43.8,0.207046332
06/18/25,Wednesday,FALSE,2045,Zara,Apparel,2039520,269,1325,67.98,0.203018868
06/19/25,Thursday,FALSE,2045,Zara,Apparel,1432145,399,1861,47.74,0.21440086
06/20/25,Friday,FALSE,2045,Zara,Apparel,1352369,527,2405,45.08,0.219126819
06/21/25,Saturday,TRUE,2045,Zara,Apparel,2128445,382,1958,70.95,0.195097038
06/22/25,Sunday,TRUE,2045,Zara,Apparel,3332135,673,3569,111.07,0.188568226
06/23/25,Monday,FALSE,2045,Zara,Apparel,1762978,477,2287,58.77,0.208570179
06/24/25,Tuesday,FALSE,2045,Zara,Apparel,1237020,405,1709,41.23,0.23698069
06/25/25,Wednesday,FALSE,2045,Zara,Apparel,1515414,534,2213,50.51,0.241301401
06/26/25,Thursday,FALSE,2045,Zara,Apparel,1190448,520,2469,39.68,0.210611584
06/27/25,Friday,FALSE,2045,Zara,Apparel,1976110,533,2759,65.87,0.193185937
06/28/25,Saturday,TRUE,2045,Zara,Apparel,2288001,847,3927,76.27,0.215686275
06/29/25,Sunday,TRUE,2045,Zara,Apparel,2445763,416,1825,81.53,0.227945205
06/30/25,Monday,FALSE,2045,Zara,Apparel,1855403,526,2150,61.85,0.244651163
07/01/25,Tuesday,FALSE,2045,Zara,Apparel,917758,512,1936,30.59,0.26446281
07/02/25,Wednesday,FALSE,2045,Zara,Apparel,1305652,578,2412,43.52,0.239635158
07/03/25,Thursday,FALSE,2045,Zara,Apparel,1338501,297,1377,44.62,0.215686275
07/04/25,Friday,FALSE,2045,Zara,Apparel,1642900,449,2138,54.76,0.210009355
07/05/25,Saturday,TRUE,2045,Zara,Apparel,4191616,746,3346,139.72,0.222952779
07/06/25,Sunday,TRUE,2045,Zara,Apparel,4108125,793,4278,136.94,0.185366994
07/07/25,Monday,FALSE,2045,Zara,Apparel,1548343,598,2438,51.61,0.245283019
07/08/25,Tuesday,FALSE,2045,Zara,Apparel,1777929,404,1456,59.26,0.277472527
07/09/25,Wednesday,FALSE,2045,Zara,Apparel,2227030,549,2873,74.23,0.191089454
07/10/25,Thursday,FALSE,2045,Zara,Apparel,1822977,341,1402,60.77,0.243223966
07/11/25,Friday,FALSE,2045,Zara,Apparel,931426,358,1905,31.05,0.187926509
07/12/25,Saturday,TRUE,2045,Zara,Apparel,3865998,514,2117,128.87,0.24279641
07/13/25,Sunday,TRUE,2045,Zara,Apparel,2252161,903,3401,75.07,0.265510144
07/14/25,Monday,FALSE,2045,Zara,Apparel,2431549,596,2208,81.05,0.269927536
07/15/25,Tuesday,FALSE,2045,Zara,Apparel,2369810,360,1319,78.99,0.272934041
07/16/25,Wednesday,FALSE,2045,Zara,Apparel,1865323,420,1910,62.18,0.219895288
07/17/25,Thursday,FALSE,2045,Zara,Apparel,1999824,438,1724,66.66,0.254060325
07/18/25,Friday,FALSE,2045,Zara,Apparel,1433646,482,2484,47.79,0.194041868
07/19/25,Saturday,TRUE,2045,Zara,Apparel,2569647,780,4079,85.65,0.191223339
07/20/25,Sunday,TRUE,2045,Zara,Apparel,1799434,617,3270,59.98,0.188685015
07/21/25,Monday,FALSE,2045,Zara,Apparel,1218191,580,2552,40.61,0.227272727
07/22/25,Tuesday,FALSE,2045,Zara,Apparel,2387921,267,1033,79.6,0.258470474
07/23/25,Wednesday,FALSE,2045,Zara,Apparel,2019787,257,1058,67.33,0.242911153
07/24/25,Thursday,FALSE,2045,Zara,Apparel,1197115,431,2130,39.9,0.202347418
07/25/25,Friday,FALSE,2045,Zara,Apparel,1220500,366,1681,40.68,0.217727543
07/26/25,Saturday,TRUE,2045,Zara,Apparel,2608337,838,3066,86.94,0.273320287
07/27/25,Sunday,TRUE,2045,Zara,Apparel,1471097,655,2487,49.04,0.263369522
07/28/25,Monday,FALSE,2045,Zara,Apparel,2136228,250,1213,71.21,0.206100577
07/29/25,Tuesday,FALSE,2045,Zara,Apparel,831249,579,3041,27.71,0.190397895
07/30/25,Wednesday,FALSE,2045,Zara,Apparel,1712266,253,1313,57.08,0.1926885
07/31/25,Thursday,FALSE,2045,Zara,Apparel,1335271,278,1220,44.51,0.227868852
08/01/25,Friday,FALSE,2045,Zara,Apparel,1267343,432,1666,42.24,0.259303721
08/02/25,Saturday,TRUE,2045,Zara,Apparel,2290175,902,4819,76.34,0.187175763
08/03/25,Sunday,TRUE,2045,Zara,Apparel,3212292,580,2562,107.08,0.226385636
08/04/25,Monday,FALSE,2045,Zara,Apparel,2038561,436,1636,67.95,0.266503667
08/05/25,Tuesday,FALSE,2045,Zara,Apparel,2185575,322,1362,72.85,0.236417034
08/06/25,Wednesday,FALSE,2045,Zara,Apparel,2094331,520,2278,69.81,0.228270413
08/07/25,Thursday,FALSE,2045,Zara,Apparel,2453543,436,1582,81.78,0.275600506
08/08/25,Friday,FALSE,2045,Zara,Apparel,1952554,552,2293,65.09,0.240732665
08/09/25,Saturday,TRUE,2045,Zara,Apparel,3222603,369,1954,107.42,0.188843398
08/10/25,Sunday,TRUE,2045,Zara,Apparel,1411866,931,4881,47.06,0.190739603
08/11/25,Monday,FALSE,2045,Zara,Apparel,982566,480,1838,32.75,0.261153428
08/12/25,Tuesday,FALSE,2045,Zara,Apparel,1971891,584,2128,65.73,0.27443609
08/13/25,Wednesday,FALSE,2045,Zara,Apparel,1114426,511,2043,37.15,0.250122369
08/14/25,Thursday,FALSE,2045,Zara,Apparel,2225173,438,1633,74.17,0.268218004
08/15/25,Friday,FALSE,2045,Zara,Apparel,2953321,1068,5487,98.44,0.194641881
08/16/25,Saturday,TRUE,2045,Zara,Apparel,3613309,863,4390,120.44,0.196583144
08/17/25,Sunday,TRUE,2045,Zara,Apparel,2476172,917,3765,82.54,0.243559097
08/18/25,Monday,FALSE,2045,Zara,Apparel,1986755,391,1888,66.23,0.207097458
08/19/25,Tuesday,FALSE,2045,Zara,Apparel,1797461,385,2076,59.92,0.185452794
08/20/25,Wednesday,FALSE,2045,Zara,Apparel,816026,303,1490,27.2,0.203355705
08/21/25,Thursday,FALSE,2045,Zara,Apparel,2204577,599,2715,73.49,0.220626151
08/22/25,Friday,FALSE,2045,Zara,Apparel,2321655,251,1227,77.39,0.204563977
08/23/25,Saturday,TRUE,2045,Zara,Apparel,2964588,566,2747,98.82,0.206042956
08/24/25,Sunday,TRUE,2045,Zara,Apparel,3752704,711,3157,125.09,0.225213811
08/25/25,Monday,FALSE,2045,Zara,Apparel,1574632,366,1341,52.49,0.272930649
08/26/25,Tuesday,FALSE,2045,Zara,Apparel,1998518,347,1389,66.62,0.249820014
08/27/25,Wednesday,FALSE,2045,Zara,Apparel,1377477,266,1159,45.92,0.229508197
08/28/25,Thursday,FALSE,2045,Zara,Apparel,1933829,453,1806,64.46,0.250830565
08/29/25,Friday,FALSE,2045,Zara,Apparel,1730987,283,1129,57.7,0.250664305
08/30/25,Saturday,TRUE,2045,Zara,Apparel,4113657,350,1624,137.12,0.215517241
08/31/25,Sunday,TRUE,2045,Zara,Apparel,2772749,536,2136,92.42,0.25093633
09/01/25,Monday,FALSE,2045,Zara,Apparel,2142534,417,1830,71.42,0.227868852
09/02/25,Tuesday,FALSE,2045,Zara,Apparel,2138747,254,940,71.29,0.270212766
09/03/25,Wednesday,FALSE,2045,Zara,Apparel,2445121,414,1783,81.5,0.232192933
09/04/25,Thursday,FALSE,2045,Zara,Apparel,1406636,309,1392,46.89,0.221982759
09/05/25,Friday,FALSE,2045,Zara,Apparel,820642,510,1932,27.35,0.263975155
09/06/25,Saturday,TRUE,2045,Zara,Apparel,3055886,470,2468,101.86,0.190437601
09/07/25,Sunday,TRUE,2045,Zara,Apparel,4242893,642,3127,141.43,0.205308602
09/08/25,Monday,FALSE,2045,Zara,Apparel,925946,433,1630,30.86,0.265644172
09/09/25,Tuesday,FALSE,2045,Zara,Apparel,2283558,212,857,76.12,0.247374562
09/10/25,Wednesday,FALSE,2045,Zara,Apparel,1296995,540,2179,43.23,0.247820101
09/11/25,Thursday,FALSE,2045,Zara,Apparel,883471,355,1814,29.45,0.19570011
09/12/25,Friday,FALSE,2045,Zara,Apparel,1160365,223,1148,38.68,0.194250871
09/13/25,Saturday,TRUE,2045,Zara,Apparel,2251111,620,2477,75.04,0.250302786
09/14/25,Sunday,TRUE,2045,Zara,Apparel,1878122,906,4210,62.6,0.2152019
09/15/25,Monday,FALSE,2045,Zara,Apparel,1217301,584,2246,40.58,0.260017809
09/16/25,Tuesday,FALSE,2045,Zara,Apparel,2197057,386,2033,73.24,0.189867191
09/17/25,Wednesday,FALSE,2045,Zara,Apparel,1823663,262,1241,60.79,0.211120064
09/18/25,Thursday,FALSE,2045,Zara,Apparel,1010581,530,2447,33.69,0.216591745
09/19/25,Friday,FALSE,2045,Zara,Apparel,2017643,297,1230,67.25,0.241463415
09/20/25,Saturday,TRUE,2045,Zara,Apparel,3318986,646,2944,110.63,0.219429348
09/21/25,Sunday,TRUE,2045,Zara,Apparel,3464266,551,2160,115.48,0.255092593
09/22/25,Monday,FALSE,2045,Zara,Apparel,1739961,205,979,58,0.209397344
09/23/25,Tuesday,FALSE,2045,Zara,Apparel,1856602,587,2684,61.89,0.218703428
09/24/25,Wednesday,FALSE,2045,Zara,Apparel,1113234,264,987,37.11,0.267477204
09/25/25,Thursday,FALSE,2045,Zara,Apparel,2108349,462,1710,70.28,0.270175439
09/26/25,Friday,FALSE,2045,Zara,Apparel,2285274,368,1984,76.18,0.185483871
09/27/25,Saturday,TRUE,2045,Zara,Apparel,3686250,302,1239,122.88,0.243744956
09/28/25,Sunday,TRUE,2045,Zara,Apparel,3645679,514,2526,121.52,0.203483769
09/29/25,Monday,FALSE,2045,Zara,Apparel,1398875,309,1440,46.63,0.214583333
09/30/25,Tuesday,FALSE,2045,Zara,Apparel,2165904,380,1423,72.2,0.267041462
10/01/25,Wednesday,FALSE,2045,Zara,Apparel,1746376,443,2004,58.21,0.221057884
10/02/25,Thursday,FALSE,2045,Zara,Apparel,6568055,768,3696,218.94,0.207792208
10/03/25,Friday,FALSE,2045,Zara,Apparel,1630575,310,1147,54.35,0.27027027
10/04/25,Saturday,TRUE,2045,Zara,Apparel,2185611,739,3682,72.85,0.200706138
10/05/25,Sunday,TRUE,2045,Zara,Apparel,3903432,607,3228,130.11,0.188042131
10/06/25,Monday,FALSE,2045,Zara,Apparel,990643,200,933,33.02,0.214362272
10/07/25,Tuesday,FALSE,2045,Zara,Apparel,1119388,327,1408,37.31,0.232244318
10/08/25,Wednesday,FALSE,2045,Zara,Apparel,1207665,411,1481,40.26,0.277515192
10/09/25,Thursday,FALSE,2045,Zara,Apparel,1461022,567,2873,48.7,0.197354682
10/10/25,Friday,FALSE,2045,Zara,Apparel,1219366,261,1221,40.65,0.213759214
10/11/25,Saturday,TRUE,2045,Zara,Apparel,2788589,402,1683,92.95,0.23885918
10/12/25,Sunday,TRUE,2045,Zara,Apparel,1594732,542,2002,53.16,0.270729271
01/06/25,Monday,FALSE,3011,H&M,Apparel,1063748,325,1162,37.99,0.279690189
01/07/25,Tuesday,FALSE,3011,H&M,Apparel,1983699,573,2611,70.85,0.219456147
01/08/25,Wednesday,FALSE,3011,H&M,Apparel,1805951,625,2497,64.5,0.25030036
01/09/25,Thursday,FALSE,3011,H&M,Apparel,1938227,267,1028,69.22,0.259727626
01/10/25,Friday,FALSE,3011,H&M,Apparel,1007607,619,2298,35.99,0.269364665
01/11/25,Saturday,TRUE,3011,H&M,Apparel,4621354,694,2377,165.05,0.291964661
01/12/25,Sunday,TRUE,3011,H&M,Apparel,1895612,583,1895,67.7,0.307651715
01/13/25,Monday,FALSE,3011,H&M,Apparel,1208761,391,1671,43.17,0.233991622
01/14/25,Tuesday,FALSE,3011,H&M,Apparel,1596410,669,2529,57.01,0.264531435
01/15/25,Wednesday,FALSE,3011,H&M,Apparel,1086415,353,1626,38.8,0.217097171
01/16/25,Thursday,FALSE,3011,H&M,Apparel,1285949,287,1156,45.93,0.248269896
01/17/25,Friday,FALSE,3011,H&M,Apparel,1750967,429,2016,62.53,0.212797619
01/18/25,Saturday,TRUE,3011,H&M,Apparel,2003288,660,2418,71.55,0.272952854
01/19/25,Sunday,TRUE,3011,H&M,Apparel,1844929,1172,4167,65.89,0.281257499
01/20/25,Monday,FALSE,3011,H&M,Apparel,1745429,524,2371,62.34,0.221003796
